title,link,author,props,time_of_day,intensity,level,focus_area,type,goal
30 min Challenging + Playful Vinyasa Sequence with Nicole Wild,3BGizZEjLVQ,Nicole_Wild,none,afternoon,medium,intermediate,full_body,vinyasa,energizing
10 Min Core Sequence with Nicole Wild,OkMD2CG9F7E,Nicole_Wild,none,afternoon,medium,intermediate,core,hatha,strength
20 Minute Gentle Vinyasa Yoga Flow with Nicole Wild,wR3Fa_YmFuc,Nicole_Wild,none,evening,low,beginner,full_body,vinyasa,flexibility
60-Min All-Levels Vinyasa Flow w/ 3 Min Meditation with Nicole Wild,h5omTa8Z4vA,Nicole_Wild,none,afternoon,medium,beginner,full_body,vinyasa,flexibility
15 Minutes for the Hips + Heart Opening with Nicole Wild,LaehrMOViMk,Nicole_Wild,none,evening,low,beginner,hips,hatha,flexibility
30 Minute Gentle Yoga - Beginner Friendly - with Nicole Wild,9bwXxE6TjXI,Nicole_Wild,none,evening,low,beginner,full_body,hatha,relaxation
60-Minute Advanced Yoga Flow,v6oE5zNbt1c,Nicole_Wild,none,afternoon,medium,advanced,full_body,vinyasa,strength
30 Minute Playful Vinyasa Yoga with Nicole Wild,0fgq3HDHpuo,Nicole_Wild,none,morning,medium,intermediate,full_body,vinyasa,energizing
60 Minute Advanced Yoga Flow | Video #2,qRNKKf9zbe8,Nicole_Wild,none,afternoon,medium,advanced,full_body,vinyasa,flexibility
20-Minute Gentle Yoga Stretch and Flow for Building Flexibility (Beginner Friendly!),N6XGdl9gpKs,Nicole_Wild,none,evening,low,beginner,full_body,hatha,flexibility
"An All-Levels, but Challenging Vinyasa Yoga Practice (including a short meditation + sweaty flow!)",Jyf_WR4pgI8,Nicole_Wild,none,afternoon,high,intermediate,full_body,vinyasa,energizing
Intermediate/Advanced 60-minute Yoga Class | Video #3 | Super Soldier Pose,N-CHgPH-3LU,Nicole_Wild,none,afternoon,medium,intermediate,full_body,hatha,flexibility
30 Minute Intermediate Yoga Class,lvs4W8OLaaI,Nicole_Wild,none,evening,medium,intermediate,full_body,hatha,strength
60 Minute Advanced Yoga Practice | Video #3 | with Nicole Wild,fldJek9xDoQ,Nicole_Wild,none,afternoon,medium,advanced,full_body,vinyasa,flexibility
60-Min Intermediate/Advanced Yoga Class with Nicole Wild,xzcoKPMnr6w,Nicole_Wild,none,afternoon,medium,advanced,full_body,hatha,strength
1-Hour Intermediate/Challenging Vinyasa Yoga Class with Nicole Wild,H_IvuBBni8w,Nicole_Wild,none,afternoon,medium,intermediate,full_body,vinyasa,flexibility
30-Minute Intermediate Yoga Class with Nicole Wild,c0VfgqmVy9s,Nicole_Wild,none,morning,medium,intermediate,full_body,balance,flexibility
60-Minute Intermediate Yoga Class working into the Splits,QtfGGcycFKM,Nicole_Wild,none,afternoon,low,intermediate,hips,hatha,flexibility
30 Minute Sweaty Vinyasa Yoga Class with @nicolewildcollective,odev2japRDg,Nicole_Wild,none,morning,high,intermediate,full_body,vinyasa,energizing
45-Minute Challenging Yoga Flow with Arm-Balance and Inversion Options,f1X_Zk7jhVU,Nicole_Wild,none,morning,high,intermediate,full_body,vinyasa,energizing
45-Minute Intermediate + Playful Vinyasa Yoga Class with Nicole Wild,p-U04p9UaGY,Nicole_Wild,none,afternoon,medium,intermediate,full_body,vinyasa,energizing
60-Min Advanced Yoga Flow with @nicolewildcollective,n77v8YqoPak,Nicole_Wild,none,afternoon,high,advanced,full_body,vinyasa,strength
45 Minute Intermediate + Playful Vinyasa Flow Yoga Class with Nicole Wild,VhdE_bWgitg,Nicole_Wild,none,afternoon,high,intermediate,full_body,vinyasa,strength
30(ish) Minute Creative Vinyasa Flow with Nicole Wild,U3HsG7lOMqo,Nicole_Wild,none,afternoon,medium,intermediate,full_body,vinyasa,energizing
30-Minute Intermediate/Challenging Vinyasa Yoga Class,acJ1ENzmpkI,Nicole_Wild,none,afternoon,high,intermediate,full_body,vinyasa,flexibility
40-Minute Advanced Yoga Flow with @nicolewildcollective,yLeZxZZIGMQ,Nicole_Wild,none,afternoon,medium,advanced,full_body,vinyasa,flexibility
40-Minute Sweaty Intermediate Vinyasa Yoga Class with Nicole Wild,Sh6-yCwiiHo,Nicole_Wild,none,morning,high,intermediate,full_body,vinyasa,energizing
35-Minute Intermediate Vinyasa Yoga Flow with Nicole Wild,pztj__X-Wlk,Nicole_Wild,none,evening,medium,intermediate,full_body,vinyasa,flexibility
25-Minute Flowy Vinyasa with @nicolewildcollective,UzX7-DrZuP0,Nicole_Wild,none,evening,medium,intermediate,full_body,vinyasa,flexibility
30-Min Intermediate + Challenging Vinyasa Flow,o4cv3AJgYB4,Nicole_Wild,none,afternoon,high,intermediate,full_body,vinyasa,energizing
35-Min Intermediate/Advanced Spicy Vinyasa Yoga Class with Nicole Wild | @nicolewildcollective,EyBdN44c5cI,Nicole_Wild,none,afternoon,high,advanced,full_body,vinyasa,energizing
35-Min Advanced Vinyasa Yoga Class with @nicolewildcollective,ymfU2fUJdAQ,Nicole_Wild,none,morning,high,advanced,full_body,vinyasa,energizing
40-Minute Spicy Vinyasa Yoga Practice with Pistol Squats by Nicole Wild,VqdTN0ZfD0k,Nicole_Wild,none,evening,high,advanced,full_body,vinyasa,strength
55-minute Sweaty Vinyasa Yoga Flow with Nicole Wild,TWjFHqgdN1c,Nicole_Wild,none,morning,high,intermediate,full_body,vinyasa,energizing
35-Minute Strength-Building Intermediate Vinyasa Yoga Class with Nicole Wild,KvwBX6j2lE0,Nicole_Wild,none,afternoon,high,intermediate,full_body,vinyasa,strength
50-minute Sweaty Vinyasa w/ Advanced Options with Nicole Wild,U6s4ar9HTpw,Nicole_Wild,none,morning,high,intermediate,full_body,vinyasa,energizing
35-min. Playful + Strength-Building Vinyasa Yoga Practice w/ Core Work,HEcciNqWVWk,Nicole_Wild,none,afternoon,high,intermediate,core,vinyasa,strength
45-min. Spicy Intermediate Vinyasa Yoga Flow,WyK9Gm9GoZM,Nicole_Wild,none,evening,high,intermediate,full_body,vinyasa,energizing
60-min. Super-Spicy Intermediate Vinyasa Yoga Practice w/ Crow Pose + Inversion Options,_iDUh4yf_Ls,Nicole_Wild,none,afternoon,high,intermediate,full_body,vinyasa,flexibility
55-min. All-Levels but Spicy + Challenging Vinyasa Yoga Flow with Nicole Wild,Uxl59LNfid8,Nicole_Wild,none,afternoon,high,intermediate,full_body,vinyasa,energizing
45-min. Spicy Vinyasa Yoga Class w/ Backbends and Core Work,gLAedVxxxiE,Nicole_Wild,none,afternoon,high,intermediate,core,vinyasa,energizing
50-min. Spicy Vinyasa Yoga Class with Nicole Wild,Pku84akEG30,Nicole_Wild,none,afternoon,high,intermediate,full_body,vinyasa,energizing
60-min. Creative Vinyasa Yoga Flow with Arm Balance Options,uwtLgK6LSb0,Nicole_Wild,none,morning,medium,intermediate,hips,vinyasa,flexibility
45-min. Fluid-Spine + Strong Twists Yoga Practice with @nicolewildcollective,GVCV6vzcPdI,Nicole_Wild,none,evening,medium,intermediate,core,hatha,strength
45-min. Spicy Intermediate Vinyasa Yoga Flow with Nicole Wild,1Vcwl6xqDYc,Nicole_Wild,none,morning,high,intermediate,full_body,vinyasa,energizing
